C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Adblue;Precio Amoniaco;Precio Biodiesel;Precio Bioetanol;Precio Biogas Natural Comprimido;Precio Biogas Natural Licuado;Precio Diésel Renovable;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E25;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 95 E85;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Gasolina Renovable;Precio Hidrogeno;Precio Metanol;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA
47012;CARRETERA VILLABAÑEZ KM. 100;L-D: 07:00-23:00;41.646306;VALLADOLID;-4,694083;D;Valladolid;;;;;;;;;;;1.709;;1.749;;;1.619;;;;1.719;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;11421;7410;47;08
47012;CALLE AZALEA, 1;L-D: 24H;41.6425;VALLADOLID;-4,689889;D;Valladolid;0.829;;;;;;;;;;1.549;;1.609;;;1.399;;;;;;;;VALLADOLID;dm;DST;P;0,0;0,0;14350;7410;47;08
47012;CALLE COBALTO, 55;"L-V: 09:00-13:00 y 16:00-19:00; S: 09:00-12:00";41.618139;VALLADOLID;-4,708917;D;Valladolid;;;;;;;;;;;;;1.71;;;;;;;;;;;VALLADOLID;dm;DEL OLMO HERMANOS;P;0,0;0,0;9415;7410;47;08
47012;CALLE TURQUESA, 71;L-D: 24H;41.62075;VALLADOLID;-4,696694;I;Valladolid;;;;;;;;;;;1.595;;1.65;;;1.397;;;;;;;;VALLADOLID;dm;LA ESTRELLA DE QATAR;P;0,0;0,0;13756;7410;47;08
47012;CALLE PIRITA, 49;L-D: 24H;41.621056;VALLADOLID;-4,703917;N;Valladolid;0.85;;;;;;;;;;1.569;;;;;1.399;;;;;;;;VALLADOLID;dm;TEXACOIL;P;0,0;0,0;15788;7410;47;08
47012;CALLE PLATA, 74;L-D: 24H;41.615806;VALLADOLID;-4,710361;D;Valladolid;;;;;;;;;;;1.549;;;;;1.379;;;;;;;;VALLADOLID;dm;LOW COST SAN CRISTOBAL;P;0,0;0,0;14269;7410;47;08
47012;CALLE CROMO, 50;L-D: 24H;41.625861;VALLADOLID;-4,707444;D;Valladolid;0.895;;;;;;;;;;1.569;;;;;1.379;;;;;;;;VALLADOLID;dm;TENCAR;P;0,0;0,0;13782;7410;47;08
47012;AVENIDA DE SORIA 28-B, S/N;L-D: 24H;41.617417;VALLADOLID;-4,692806;D;Valladolid;;;;;;;;;;;1.569;;;;;1.369;;;;;;;;VALLADOLID;dm;PLENERGY;P;0,0;0,0;15759;7410;47;08
47012;CALLE PLATA, 40;L-S: 06:00-21:00;41.618306;VALLADOLID;-4,705028;N;Valladolid;;;;;;;1.829;;;1.029;1.719;;;;;1.619;;;;1.779;;;;VALLADOLID;dm;REPSOL;P;0,0;0,0;11960;7410;47;08
47012;CALLE SANTA MARIA DE LA CABEZA, 28;L-D: 24H;41.64525;VALLADOLID;-4,699472;N;Valladolid;;;;;;;;;;;1.549;;1.569;;;1.349;;;;;;;;VALLADOLID;OM;BALLENOIL;P;0,0;0,0;16056;7410;47;08
47012;CARRETERA SORIA KM. 3,200;L-D: 06:00-20:00;41.631528;VALLADOLID;-4,704111;D;Valladolid;0.799;;;;;;;;;;1.669;;1.719;;;1.569;;;;;;;;VALLADOLID;OM;GALP;P;0,0;0,0;6323;7410;47;08
47012;CALLE HIDROGENO, 83;L-D: 24H;41.60175;VALLADOLID;-4,697500;D;Valladolid;;;;;;;;;;;1.569;;;;;1.389;;;;;;;;VALLADOLID;dm;ESPECIAL OIL;P;0,0;0,0;13834;7410;47;08
47012;CARRETERA CL-601 KM. 4,8;L-D: 06:00-23:00;41.608861;VALLADOLID;-4,709417;D;Valladolid;;;;;;;1.809;;;;1.699;;;;;1.609;;;;1.759;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6260;7410;47;08
47008;CR N-601, 187;L-D: 24H;41.618806;VALLADOLID;-4,726361;I;Valladolid;;;;;;;1.805;;;;1.695;;;;;1.605;1.655;;;1.705;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6255;7410;47;08
47008;AVENIDA NORTE DE CASTILLA, 1;L-D: 06:00-22:00;41.628806;VALLADOLID;-4,732111;D;Valladolid;;;;;;;1.799;;;;1.689;;;;;1.605;;;;1.765;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6259;7410;47;08
47008;CALLE CAMINO VIEJO DE SIMANCAS, 46;L-D: 07:00-23:00;41.621556;VALLADOLID;-4,756250;D;Valladolid;;;;;;;1.809;;;;1.709;;;;;1.619;1.669;;;1.719;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6181;7410;47;08
47008;CALLE BRONCE, S/N;"L-V: 07:00-21:00; S-D: 07:00-14:00";41.6155;VALLADOLID;-4,736333;N;Valladolid;;;;;;;;;;1.035;;;;;;;;;;;;;;VALLADOLID;dm;REPSOL BUTANO;P;0,0;0,0;12558;7410;47;08
47008;CALLE DANIEL DEL OLMO 23, 23;L-D: 24H;41.627861;VALLADOLID;-4,729056;D;Valladolid;;;;;;;;;;;1.549;;;;;1.349;;;;;;;;VALLADOLID;dm;PLENERGY;P;0,0;0,0;14897;7410;47;08
47008;AVENIDA NORTE DE CASTILLA, 54;L-D: 24H;41.619472;VALLADOLID;-4,737056;D;Valladolid;;;;;;;;;;;1.549;;1.569;;;1.349;;;;;;;;VALLADOLID;OM;BALLENOIL;P;0,0;0,0;14618;7410;47;08
47008;CALLE DANIEL DEL OLMO GONZÁLEZ, 16;L-D: 24H;41.627528;VALLADOLID;-4,732500;D;Valladolid;;;;;;;;;;;1.549;;;;;1.349;;;;;;;;VALLADOLID;dm;PETROPRIX;P;0,0;0,0;14873;7410;47;08
47008;CALLE RONDA INTERIOR SUR, SN;L-D: 07:00-23:00;41.618556;VALLADOLID;-4,720778;N;Valladolid;0.799;;;;;;;;;;1.549;;;;;1.354;;;;;;;;VALLADOLID;OM;GASOLINERA VALLADOLID PISUERGA;P;0,0;0,0;11330;7410;47;08
47008;CARRETERA N-601 MADRID KM. 183;"L-S: 07:00-23:00; D: 08:30-23:00";41.600639;VALLADOLID;-4,723111;D;Valladolid;1.2;;;;;;;;;;1.694;;1.754;;;1.594;;;;1.673;;;;VALLADOLID;dm;CEPSA;P;0,0;0,0;6414;7410;47;08
47008;AVENIDA ZAMORA, 51;"L-V: 06:00-00:00; S: 09:00-14:00 y 16:00-21:00; D: 10:00-14:00 y 16:00-21:00";41.6195;VALLADOLID;-4,735861;D;Valladolid;;;;;;;;;;;1.549;;;;;1.349;;;;;;;;VALLADOLID;dm;GASEXPRESS;P;0,0;0,0;13570;7410;47;08
47008;CALLE TEIDE, 8;L-D: 06:00-00:00;41.619972;VALLADOLID;-4,717611;D;Valladolid;;;;;;;;;;;1.569;;1.7;;;1.391;;;;1.645;;;;VALLADOLID;dm;LA ESTRELLA DE QATAR;P;0,0;0,0;13813;7410;47;08
47008;CALLE CONTINUACION ARCA REAL, 111;L-D: 24H;41.626889;VALLADOLID;-4,728250;D;Valladolid;0.829;;;;;;;;;;1.529;;1.589;;;1.359;;;;;;;;VALLADOLID;dm;DST ARCA REAL;P;0,0;0,0;14101;7410;47;08
