C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Adblue;Precio Amoniaco;Precio Biodiesel;Precio Bioetanol;Precio Biogas Natural Comprimido;Precio Biogas Natural Licuado;Precio Diésel Renovable;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E25;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 95 E85;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Gasolina Renovable;Precio Hidrogeno;Precio Metanol;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA
47610;AVENIDA RAMON Y CAJAL, S/N;L-D: 24H;41.635083;ZARATÁN;-4,784389;D;Zaratán;0.829;;;;;;;;;;1.599;;1.659;;;1.429;;;;;;;;VALLADOLID;dm;DST;P;0,0;0,0;14688;7455;47;08
49500;CR N-122, 516,7  I;L-D: 07:00-22:59;41.697389;ALCAÑICES;-6,342250;I;Alcañices;;;;;;;;;;;1.655;;1.705;;;1.569;;;;1.679;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6389;7570;49;08
49210;CARRERA FONFRIA - LEDESMA, 43,230;"L-V: 08:00-21:00; S-D: 08:00-20:00";41.256528;ALMEIDA DE SAYAGO;-6,070167;D;Almeida de Sayago;;;;;;;;;;;1.629;1.339;1.709;;;1.559;;;;1.719;;;;ZAMORA;dm;AVIA;P;0,0;0,0;9371;7575;49;08
49151;CARRETERA ZA-610 KM. 0;L-D: 24H;41.48125;ARCENILLAS;-5,703944;D;Arcenillas;0.579;;;;;;;;;0.991;1.474;;;;;1.355;;;;;;;;ZAMORA;dm;FERTIBLEND;P;0,0;0,0;15914;7577;49;08
49600;AVENIDA LAS AMERICAS, SN;L-D: 24H;41.999167;BENAVENTE;-5,661194;N;Benavente;0.689;;;;;;;;;;1.669;1.369;;;;1.539;;;;;;;;ZAMORA;dm;VALCARCE;P;0,0;0,0;7996;7588;49;08
49600;CALLE VILAREAL, S/N;L-D: 24H;42.005972;BENAVENTE;-5,663639;I;Benavente;1.105;;;;;;;;;;1.639;1.368;;;;;;;;;;;;ZAMORA;dm;IDS;P;0,0;0,0;11894;7588;49;08
49600;AVENIDA SIMON BOLIVAR, S/N;L-D: 24H;42.003056;BENAVENTE;-5,660472;D;Benavente;0.799;;;;;;;;;;1.679;;;;;1.559;;;;;;;;ZAMORA;dm;AVIA;P;0,0;0,0;9039;7588;49;08
49600;CALLE SIMON BOLIVAR, S/N;L-D: 24H;42.0075;BENAVENTE;-5,662333;N;Benavente;1.099;;;;;;;;;;1.588;1.399;1.699;;;1.539;;;;;;;;ZAMORA;dm;STAROIL;P;0,0;0,0;13002;7588;49;08
49600;CARRETERA N-6 KM. 260,5;L-D: 24H;41.992194;BENAVENTE;-5,647222;I;Benavente;;;;;;;;;;1.109;1.645;1.324;1.735;;;1.569;;;;1.719;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6238;7588;49;08
49600;AVENIDA FEDERICO SILVA MUÑOZ, 128;L-D: 24H;41.997278;BENAVENTE;-5,661361;N;Benavente;1.36;;;;;;;;;;1.664;;1.744;;;1.574;;;;1.674;;;;ZAMORA;OM;SHELL;P;0,0;0,0;4961;7588;49;08
49600;CALLE CUBA, SN;L-D: 24H;41.992111;BENAVENTE;-5,657472;N;Benavente;;;;;;;;;;;1.49;1.09;;;;;;;;;;;;ZAMORA;dm;NUTECAL;P;0,0;0,0;9485;7588;49;08
49600;AVENIDA FEDERICO SILVA MUÑOZ, 259;L-D: 24H;41.995111;BENAVENTE;-5,652944;D;Benavente;;;;;;;1.799;;;;1.649;1.381;;;;;;;;;;;;ZAMORA;OM;CEPSA;P;0,0;0,0;6103;7588;49;08
49600;AVENIDA FEDERICO SILVA MUÑOZ, 139;L-D: 24H;41.999667;BENAVENTE;-5,664028;N;Benavente;;;;;;;;;;;1.509;;;;;1.429;;;;;;;;ZAMORA;OM;GALP&GO;P;0,0;0,0;14429;7588;49;08
49600;AVENIDA FEDERICO SILVA MUÑOZ, 146;L-D: 24H;41.996944;BENAVENTE;-5,658778;D;Benavente;;;;;;;;;;;1.479;;;;;1.399;;;;;;;;ZAMORA;dm;PETROPRIX;P;0,0;0,0;16086;7588;49;08
49600;CALLE CAÑADA REAL BERCIANA, 1;L-D: 24H;41.99675;BENAVENTE;-5,655694;D;Benavente;0.829;;;;;;;;;;1.599;;;;;;;;;;;;;ZAMORA;dm;DST;P;0,0;0,0;9239;7588;49;08
49600;CAÑADA REAL BERCIANA, 9;L-D: 24H;41.9985;BENAVENTE;-5,656472;D;Benavente;0.6;;;;;;;;;;1.479;1.099;;;;1.399;;;;;;;;ZAMORA;dm;BEROIL ;P;0,0;0,0;15805;7588;49;08
49600;CARRER CAÑADA BERZIANA, 9;L-D: 24H;41.998417;BENAVENTE;-5,658194;D;Benavente;;;;;1.429;1.374;;1.418;1.385;;;;;;;;;;;;;;;ZAMORA;dm;HAM;P;0,0;0,0;15802;7588;49;08
49600;AVENIDA FEDERICO SILVA MUÑOZ, 21;L-D: 06:00-23:00;42.002389;BENAVENTE;-5,671472;I;Benavente;;;;;;;;;;;1.649;;1.749;;;1.579;1.619;;;;;;;ZAMORA;OM;MOEVE;P;0,0;0,0;6101;7588;49;08
49200;AVENIDA DE LA GUARDIA CIVIL, 16;L: 07:00-23:00;41.368139;BERMILLO DE SAYAGO;-6,102306;I;Bermillo de Sayago;;;;;;;;;;;1.639;;1.709;;;1.559;;;;1.719;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6236;7590;49;08
49155;CARRETERA TORO-SALAMANCA KM. 21;L-D: 06:00-20:00;41.339361;BOVEDA DE TORO (LA);-5,410167;I;Bóveda de Toro (La);;;;;;;;;;;1.625;;1.725;;;1.529;;;;1.689;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6213;7591;49;08
49155;CARRETERA TORO-SALAMANCA KM. 19,7;"L-V: 09:00-14:00 y 16:00-19:00; S: 09:00-13:00";41.337361;BOVEDA DE TORO (LA);-5,411111;I;Bóveda de Toro (La);;;;;;;;;;;1.599;;;;;1.499;;;;;;;;ZAMORA;dm;COORDINACION AGRARIA SA;P;0,0;0,0;11905;7591;49;08
49332;CARRETERA N-525 KM. ;L-D: 07:00-22:00;41.996139;CAMARZANA DE TERA;-6,025583;D;Camarzana de Tera;;;;;;;;;;;1.649;1.33;1.719;;;1.569;;;;1.729;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6398;7600;49;08
49440;CARRETERA CN 620 KM. 203;"L-V: 07:00-19:00; S-D: 09:00-19:00";41.171389;CAÑIZAL;-5,368611;D;Cañizal;;;;;;;;;;;1.715;;1.775;;;1.599;;;;1.779;;;;ZAMORA;dm;CARAMANZANA MARKETING Y MEDIO AMBIENTE, S.L.;P;0,0;0,0;6336;7601;49;08
49151;CARRETERA CL-605 FUENTESAUCO KM. 10;L-D: 24H;41.435333;CASASECA DE LAS CHANAS;-5,672528;D;Casaseca de las Chanas;;;;;;;;;;;1.599;;1.659;;;1.455;1.599;;;;;;;ZAMORA;dm;|> ENERTRIX <|;P;0,0;0,0;6263;7606;49;08
49419;AUTOVIA 62 KM. 195;L: 06:00-01:00;41.227139;CASTRILLO DE LA GUAREÑA;-5,317806;D;Castrillo de la Guareña;;;;;;;;;;;1.649;;1.749;;;1.579;;;;1.769;;;;ZAMORA;dm;REPSOL CASTRILLO DE LA  GUAREÑA;P;0,0;0,0;16076;7607;49;08
49660;CARRETERA PALENCIA KM. 2;L-D: 07:00-23:00;41.988389;CASTROGONZALO;-5,598861;N;Castrogonzalo;0.849;;;;;;;;;;1.569;;1.619;;;1.469;;;;1.579;;;;ZAMORA;dm;PASO HONROSO;P;0,0;0,0;6100;7608;49;08
49396;CARRETERA N-525 KM. 84,500;L-D: 24H;42.06075;COBREROS;-6,640583;D;Cobreros;;;;;;;;;;;1.655;;1.745;;;1.555;;;;1.695;;;;ZAMORA;OM;BP PUEBLA DE SANABRIA MD;P;0,0;0,0;6287;7615;49;08
49396;CARRETERA N-525 KM. 84,5;L-D: 07:00-22:00;42.060361;CASTRO DE SANABRIA;-6,640167;I;Cobreros;1.219;;;;;;;;;;1.655;;1.745;;;1.555;;;;1.695;;;;ZAMORA;OM;BP PUEBLA DE SANABRIA MI;P;0,0;0,0;6288;7615;49;08
49700;CARRETERA C.N.630-RUTA DE LA PLATA KM.,298.8 KM. 298;L-D: 24H;41.359972;CORRALES;-5,726583;I;Corrales;;;;;;;;;;;1.509;;;;;1.409;;;;;;;;ZAMORA;dm;REPOSTAR;P;0,0;0,0;11132;7618;49;08
49710;CARRETERA N-630 KM. 306;L-D: 07:00-23:00;41.263472;CUBO DE TIERRA DEL VINO (EL);-5,713500;I;Cubo de Tierra del Vino (El);;;;;;;;;;;1.609;;1.709;;;1.489;;;;1.679;;;;ZAMORA;dm;EL PILAR;P;0,0;0,0;8124;7622;49;08
49220;CARRETERA ZAMORA-FERMOSELLE  CL 527 KM. 60,500;L: 09:00-21:00;41.321583;FERMOSELLE;-6,377528;D;Fermoselle;;;;;;;;;;;1.69;1.346;;;;1.579;1.633;;;;;;;ZAMORA;dm;CEPSA;P;0,0;0,0;6153;7628;49;08
49400;CALLE RODIGUEZ DE MIGUEL 5, 5;"L-V: 07:00-21:00; S: 08:00-20:00; D: 08:00-15:00";41.233472;FUENTESAUCO;-5,494472;D;Fuentesaúco;;;;;;;1.735;;;;1.625;;;;;1.529;;;;1.689;;;;ZAMORA;OM;SEGUIN Y DIEGO S.L.;P;0,0;0,0;6358;7641;49;08
49251;CARRERA ZAMORA V2210-P47-P94, 0;L-D: 24H;41.475917;GAMONES;-6,175528;N;Gamones;;;;;;;;;;;1.679;;;;;1.559;;;;;;;;ZAMORA;dm;E.S. DIEZ CENTIMOS;P;0,0;0,0;14997;7647;49;08
49740;AUTOVIA A66 KM. 241;L-D: 24H;41.798333;GRANJA DE MORERUELA;-5,755833;I;Granja de Moreruela;;;;;;;1.739;;;;1.629;;;;;1.549;;;;1.709;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;13104;7649;49;08
49740;AUTOVIA A-66 KM. 241;L-D: 24H;41.813417;GRANJA DE MORERUELA;-5,748611;D;Granja de Moreruela;;;;;;;;;;;1.609;;;;;1.529;;;;;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;15887;7649;49;08
49574;CARRETERA N-525 KM. 103;L-D: 07:00-23:00;42.033417;PADORNELO;-6,838472;I;Lubián;;;;;;;;;;;1.655;;1.705;;;1.569;;;;1.729;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6278;7658;49;08
49310;CARRETERA N-525 KM. 56,400;L-D: 24H;42.020583;MOMBUEY;-6,316917;D;Mombuey;;;;;;;;;;;1.649;;1.729;;;1.559;;;;1.648;;;;ZAMORA;OM;CEPSA;P;0,0;0,0;6121;7678;49;08
49121;CARRETERA CL 612 KM. 1177;L-D: 06:00-01:00;41.546278;MONFARRACINOS;-5,708167;N;Monfarracinos;;;;;;;;;;;1.639;;1.739;;;1.579;;;;1.739;;;;ZAMORA;dm;REPSOL MONFARRACINOS;P;0,0;0,0;15515;7679;49;08
49121;CARRETERA CL612 KM. 6;"L-S: 07:00-23:00; D: 08:00-23:00";41.549917;MONFARRACINOS;-5,704750;D;Monfarracinos;;;;;;;;;;;1.638;;1.768;;;1.569;;;;;;;;ZAMORA;dm;CEPSA;P;0,0;0,0;4748;7679;49;08
49149;CARRETERA NACIONAL 630 KM. 261,200;"L-V: 07:00-22:00; S: 08:00-22:00; D: 09:00-21:00";41.636417;MONTAMARTA;-5,798417;I;Montamarta;;;;;;;;;;;1.514;;;;;1.434;;;;;;;;ZAMORA;dm;LOSADA - MONTAMARTA;P;0,0;0,0;4941;7680;49;08
49150;CALLE POZO, 82;L-S: 07:00-21:00;41.466083;MORALEJA DEL VINO;-5,660083;I;Moraleja del Vino;;;;;;;;;;;1.619;1.314;1.719;;;1.539;;;;;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6374;7683;49;08
49190;CARRETERA CTRA. NACIONAL 630 KM. 285;"L-V: 06:30-23:00; S: 07:00-23:00; D: 07:30-23:00";41.444944;MORALES DEL VINO;-5,733611;I;Morales del Vino;;;;;;;;;;;1.479;1.259;1.519;;;1.369;;;;1.529;;;;ZAMORA;dm;REPOSTAR - ANSELMO MONTERO BRAGADO;P;0,0;0,0;4923;7687;49;08
49167;CARRETERA N-122A KM. 475,190;L-D: 07:00-23:00;41.541222;MUELAS DEL PAN;-5,921722;D;Muelas del Pan;;;;;;;;;;;1.659;;;;;1.589;;;;1.699;;;;ZAMORA;dm;MUELAS DEL PAN;P;0,0;0,0;6333;7692;49;08
49336;CR N-631, 43,4;L-D: 07:00-22:00;41.937194;OTERO DE BODAS;-6,157611;D;Otero de Bodas;;;;;;;;;;;1.609;;1.709;;;1.559;;;;;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6195;7696;49;08
49280;CARRETERA CL 527 KM. 14,350;L-D: 08:00-20:00;41.415667;PERERUELA;-5,873611;D;Pereruela;;;;;;;;;;;1.659;1.309;;;;1.519;;;;1.659;;;;ZAMORA;dm;REPOSTAR--ALFA;P;0,0;0,0;4915;7707;49;08
49622;AUTOVIA A-52 KM. 14,4;L-D: 07:00-23:00;42.022111;QUINTANILLA DE URZ;-5,852722;D;Quintanilla de Urz;;;;;;;1.765;;;;1.665;;;;;1.575;;;;1.715;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6407;7722;49;08
49622;AUTOVIA A 52 KM. 15,400;"L: 24H; M-V: 07:00-00:00; S: 00:00-23:00; D: 07:00-23:59";42.018889;QUINTANILLA DE URZ;-5,849111;I;Quintanilla de Urz;1.379;;;;;;;;;;1.679;;1.909;;;1.629;;;;1.819;;;;ZAMORA;dm;REPSOL;P;0,0;0,0;9470;7722;49;08
49622;CTRA RIO CHICO km S/N;"L-V: 09:00-13:30 y 16:00-18:30; S: 09:00-13:30";42.009222;QUIRUELAS DE VIDRIALES;-5,840944;N;Quiruelas de Vidriales;;;;;;;;;;;;1.09;;;;;;;;;;;;ZAMORA;dm;TEO;P;0,0;0,0;9487;7725;49;08
49515;CTRA. N-122 km 528,72;L-D: 08:00-00:00;41.734083;SEJAS DE ALISTE;-6,468389;D;Rábano de Aliste;;;;;;;;;;;1.63;;1.7;;;1.57;;;;1.65;;;;ZAMORA;dm;LA CHUCA;P;0,0;0,0;4913;7727;49;08
49390;CARRETERA CRTA. ZA-104 KM. 4,723;L-D: 08:00-23:00;42.081417;SAMPIL;-6,640250;D;Robleda-Cervantes;;;;;;;;;;0.95;1.549;;1.649;;;1.499;;;;1.609;;;;ZAMORA;dm;REPOSTAR,  ANTONIO  DEL ESTAL LÓPEZ S.L.;P;0,0;0,0;4954;7733;49;08
49690;CARRETERA NACIONAL 630 KM. 210,1;"L-V: 07:30-21:30; S: 08:00-15:00; D: 15:00-21:30";42.033167;SAN CRISTOBAL DE ENTREVIÑAS;-5,650056;I;San Cristóbal de Entreviñas;;;;;;;;;;;1.659;1.399;1.749;;;1.599;;;;1.759;;;;ZAMORA;dm;REPSOL;P;0,0;0,0;6187;7740;49;08
49690;CARRETERA NACIONAL 630 KM. 207;L-D: 24H;42.057361;SAN CRISTOBAL DE ENTREVIÑAS;-5,634028;D;San Cristóbal de Entreviñas;;;;;;;;;;;1.474;;;;;1.355;;;;;;;;ZAMORA;dm;FERTIBLEND;P;0,0;0,0;13551;7740;49;08
49650;AUTOVIA A-6 KM. ;L-D: 07:00-23:00;41.936528;SAN ESTEBAN DEL MOLAR;-5,544472;I;San Esteban del Molar;;;;;;;;;;;1.624;;1.724;;;1.579;1.643;;;;;;;ZAMORA;dm;MOEVE;P;0,0;0,0;6129;7741;49;08
49523;CARRETERA ZA-913 KM. 32,5;L-D: 07:00-23:00;41.785056;SAN VITERO;-6,348417;I;San Vitero;;;;;;;;;;;1.68;;1.738;;;1.579;;;;;;;;ZAMORA;dm;CEPSA;P;0,0;0,0;6151;7749;49;08
49750;N-630 km 197;"L-V: 09:00-13:30 y 16:00-18:30; S: 09:00-13:30";41.863222;SANTOVENIA;-5,716722;D;Santovenia;;;;;;;;;;;;1.09;;;;;;;;;;;;ZAMORA;dm;TEO;P;0,0;0,0;9501;7759;49;08
49152;CARRETERA ZAMORA KM. 14,700;"L-S: 07:30-22:00; D: 09:00-22:00";41.434028;SANZOLES;-5,566111;D;Sanzoles;;;;;;;;;;;1.639;1.309;1.679;;;1.509;;;;;;;;ZAMORA;dm;E.S. CASHER;P;0,0;0,0;12459;7760;49;08
49140;CARRETERA N-631 KM. 21,2;L-D: 07:00-23:00;41.821;TABARA;-5,950472;I;Tábara;;;;;;;;;;;1.629;;1.729;;;1.559;1.629;;;;;;;ZAMORA;dm;MOEVE COMERCIAL  S A.U.0;P;0,0;0,0;6132;7761;49;08
49800;CARRETERA MEDINA DE RIOSECO KM. 1,6;L-D: 07:00-23:00;41.540361;TORO;-5,377222;D;Toro;;;;;;;;;;;1.709;;1.799;;;1.619;;;;;;;;ZAMORA;dm;AREA DE SERVICIO TORO;P;0,0;0,0;12248;7763;49;08
49800;CARRETERA N-122.KM-426.6 KM. 426,6;L-D: 06:00-00:00;41.526833;TORO;-5,398500;I;Toro;;;;;;;;;;;1.689;;1.799;;;1.609;;;;;;;;ZAMORA;dm;MOEVE COMERCIAL S.A.U.;P;0,0;0,0;6134;7763;49;08
49800;CARRETERA N-122 KM. 425,5;L-D: 07:00-23:00;41.523167;TORO;-5,386194;I;Toro;;;;;;;1.759;;;;1.659;;;;;1.569;;;;1.729;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6318;7763;49;08
49800;CARRETERA TORDESILLAS KM. 29;L-D: 24H;41.526528;TORO;-5,377361;N;Toro;;;;;;;;;;;1.599;;;;;1.499;;;;;;;;ZAMORA;dm;SERVICIOS AGRARIOS LA UNION SLU;P;0,0;0,0;14317;7763;49;08
49800;CAMINO DE LOS BORRACHOS, SN;"L-V: 09:00-14:00 y 16:00-18:30; S: 09:00-12:00";41.533861;TORO;-5,391417;N;Toro;;;;;;;;;;;1.49;1.09;;;;;;;;;;;;ZAMORA;dm;AGROPAL;P;0,0;0,0;11043;7763;49;08
49781;CARRETERA A6 KM. 273;L-D: 24H;42.087806;TORRE DEL VALLE (LA);-5,713278;D;Torre del Valle (La);;;;;;;;;;;1.649;;1.749;;;1.545;;;;1.695;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6411;7764;49;08
49781;CARRETERA A6 KM. 273;L-D: 24H;42.089278;TORRE DEL VALLE (LA);-5,715528;I;Torre del Valle (La);;;;;;;;;;;1.659;;1.749;;;1.545;;;;1.695;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6412;7764;49;08
49516;POLIGONO POLIGONO 506, PARCELA 1608-B, 1608;L-D: 06:00-23:59;41.741694;TRABAZOS;-6,486417;N;Trabazos;;;;;;;;;;;1.649;;1.749;;;1.579;1.659;;;;;;;ZAMORA;OM;MOEVE;P;0,0;0,0;15769;7767;49;08
49770;CARRETERA N-VI KM. 267,8;L: 07:00-23:00;42.051889;VILLABRAZARO;-5,683278;D;Villabrázaro;0.899;;;;;;;;;;1.629;1.399;1.699;;;1.569;;;;;;;;ZAMORA;dm;MLC;P;0,0;0,0;6159;7782;49;08
49136;CM  LA SENDA DEL VALLE km 1;L-D: 24H;41.856139;VILLAFAFILA;-5,613111;D;Villafáfila;;;;;;;;;;;;1.2;;;;;;;;;;;;ZAMORA;dm;AGRINZA;P;0,0;0,0;10376;7786;49;08
49630;CARRETERA CTRA.N-VI A, KM. 236,7;L-D: 24H;41.865833;VILLALPANDO;-5,420750;D;Villalpando;;;;;;;;;;;1.549;;;;;1.469;;;;1.579;;;;ZAMORA;dm;Q8;P;0,0;0,0;6078;7794;49;08
49630;CARRETERA C-612 KM. 49;L-D: 07:00-23:00;41.860417;VILLALPANDO;-5,417667;D;Villalpando;;;;;;;;;;;1.635;;1.735;;;1.569;;;;1.729;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6403;7794;49;08
49630;AUTOVIA A-6 KM. 231;L-D: 07:00-23:00;41.826778;VILLALPANDO;-5,379944;I;Villalpando;1.36;;;;;;;;;;1.664;;1.744;;;1.574;;;;1.674;;;;ZAMORA;OM;SHELL;P;0,0;0,0;8561;7794;49;08
49630;CM  HERRADO S/N;L-D: 24H;41.853639;VILLALPANDO;-5,406472;D;Villalpando;0.6;;;;;;;;;;1.44;;;;;1.37;;;;;;;;ZAMORA;dm;AGRINZA;P;0,0;0,0;10375;7794;49;08
49698;CARRETERA LITOS-STA.CRISTINA KM. 23;L-D: 24H;41.952917;MOZAR;-5,785417;D;Villanázar;;;;;;;;;;;1.699;;1.769;;;1.589;;;;1.749;;;;ZAMORA;dm;MOZAR ENERGIA;P;0,0;0,0;9527;7798;49;08
49100;CARRETERA N-610 KM. 81,8;L-D: 08:00-22:00;41.987417;VILLANUEVA DEL CAMPO;-5,412278;I;Villanueva del Campo;;;;;;;;;;;1.609;;1.709;;;1.529;;;;1.689;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6225;7802;49;08
49137;CARRETERA BELBER-TÁBARA KM. 21,400;"L-S: 08:00-21:00; D: 09:00-21:00";41.799778;VILLARRIN DE CAMPOS;-5,640111;I;Villarrín de Campos;0.65;;;;;;;;;;1.529;1.139;;;;1.459;;;;1.599;;;;ZAMORA;dm;REPOSTAR GOMEZ OSORIO;P;0,0;0,0;6361;7810;49;08
49006;RONDA LA FERIA, 19/21;"L-S: 07:00-23:00; D: 08:00-22:00";41.507056;ZAMORA;-5,747806;N;Zamora;;;;;;;;;;;1.619;;1.679;;;1.559;;;;1.699;;;;ZAMORA;dm;REPSOL - LOSADA RONDA;P;0,0;0,0;4962;7816;49;08
49022;AVENIDA REQUEJO, 31;L-D: 24H;41.510583;ZAMORA;-5,736361;N;Zamora;;;;;;;;;;;1.619;;1.679;;;1.559;;;;1.699;;;;ZAMORA;dm;REPSOL -  LOSADA  AVENIDA;P;0,0;0,0;4963;7816;49;08
49022;CARRETERA NACIONAL 122 KM. 453,800;L: 07:00-22:00;41.527417;ZAMORA;-5,699444;D;Zamora;;;;;;;;;;1.095;1.635;;1.735;;;1.539;;;;1.699;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;6211;7816;49;08
49022;CARRETERA NACIONAL 122 KMT. 455 KM. ;L-D: 07:00-23:00;41.524861;ZAMORA;-5,714583;I;Zamora;;;;;;;;;;;1.599;1.299;1.649;;;1.429;;;;1.599;;;;ZAMORA;dm;REPOSTAR--VISTA ALEGRE;P;0,0;0,0;4911;7816;49;08
49022;CARRETERA N122 - CC VISTA ALEGRE KM. 62;L-D: 24H;41.521528;ZAMORA;-5,721028;N;Zamora;;;;;;;;;;;1.469;;;;;1.355;;;;;;;;ZAMORA;dm;PETROPRIX;P;0,0;0,0;16095;7816;49;08
49023;AVENIDA CARDENAL CISNEROS, S/N;L-D: 24H;41.514278;ZAMORA;-5,745417;D;Zamora;;;;;;;;;;;1.495;;;;;1.429;;;;;;;;ZAMORA;dm;STAR OIL ZAMORA;P;0,0;0,0;13278;7816;49;08
49023;CALLE VILLALPANDO, S/N;L-D: 24H;41.512361;ZAMORA;-5,746306;D;Zamora;;;;;;;;;;;1.469;;;;;1.355;;;;;;;;ZAMORA;dm;PLENERGY;P;0,0;0,0;14474;7816;49;08
49023;AVENIDA CARDENAL CISNEROS, S/N;L-D: 24H;41.519389;ZAMORA;-5,757833;D;Zamora;0.799;;;;;;;;;;1.499;;1.749;;;1.419;;;;;;;;ZAMORA;dm;VALCARCE;P;0,0;0,0;11029;7816;49;08
49023;CUESTA DEL BOLON, S/N;L-D: 07:00-23:00;41.511722;ZAMORA;-5,747972;D;Zamora;;;;;;;;;;1.099;1.645;;1.685;;;1.559;;;;1.719;;;;ZAMORA;OM;REPSOL;P;0,0;0,0;12847;7816;49;08
49023;AVENIDA CARDENAL CISNEROS, S/N;L-D: 24H;41.516;ZAMORA;-5,747361;N;Zamora;;;;;;;;;;;1.599;;1.639;;;1.529;;;;1.719;;;;ZAMORA;dm;CARREFOUR;P;0,0;0,0;13674;7816;49;08
49030;CARRETERA LEDESMA KM. 0,300;L-D: 06:00-22:00;41.474972;ZAMORA;-5,770611;D;Zamora;1.09;;;;;;;;;;1.634;;1.781;;;1.554;;;;;;;;ZAMORA;dm;CEPSA;P;0,0;0,0;9451;7816;49;08
49021;CARRETERA CL-605 KM. 169,87;L-D: 24H;41.487972;ZAMORA;-5,723972;I;Zamora;0.647;;;;;;;;;;1.474;;;;;1.355;;;;;;;;ZAMORA;dm;MORAOIL;P;0,0;0,0;13835;7816;49;08
49028;CALLE SALAMANCA, 46;L-D: 24H;41.495;ZAMORA;-5,741583;D;Zamora;;;;;;;;;;;1.469;;1.489;;;1.355;;;;;;;;ZAMORA;OM;BALLENOIL;P;0,0;0,0;6139;7816;49;08
49027;CARRETERA N-122 KM. 4;L-D: 07:00-21:00;41.521111;ZAMORA;-5,797056;D;Zamora;0.908;;;;;;1.777;;;;1.699;;;;;1.628;;;;1.728;;;;ZAMORA;dm;REPSOL;P;0,0;0,0;6196;7816;49;08
49024;CARRETERA GIJON SEVILLA KM. 274,800;L-D: 07:00-23:00;41.521056;ZAMORA;-5,755278;I;Zamora;;;;;;;;;;;1.649;;1.746;;;1.579;;;;1.639;;;;ZAMORA;OM;MOEVE COMMERCIAL, S.A.U.;P;0,0;0,0;6144;7816;49;08
