C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Adblue;Precio Amoniaco;Precio Biodiesel;Precio Bioetanol;Precio Biogas Natural Comprimido;Precio Biogas Natural Licuado;Precio Diésel Renovable;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E25;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 95 E85;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Gasolina Renovable;Precio Hidrogeno;Precio Metanol;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA
18850;AUTOVIA A/92 GRANADA MURCIA KM. 354;L-D: 07:00-23:00;37.554194;CULLAR                   ;-2,608944;N;Cúllar;;;;;;;;;;;1.519;;1.619;;;1.559;;;;1.679;;;;GRANADA;dm;BP VENTA DEL PERAL I;P;0,0;0,0;6449;2724;18;01
18850;AUTOVIA A-92 KM. 377;L-D: 24H;37.595222;CULLAR                   ;-2,373556;I;Cúllar;1.1;;;;;;;;;;1.519;;1.599;;;1.509;;;;1.649;;;;GRANADA;OM;SHELL;P;0,0;0,0;6496;2724;18;01
18850;AUTOVIA A/92 KM. 354;L-D: 24H;37.553444;CULLAR                   ;-2,614111;I;Cúllar;;;;;;;;;;0.979;1.519;;1.619;;;1.559;;;;1.679;;;;GRANADA;dm; BP VENTA DEL PERAL II;P;0,0;0,0;6498;2724;18;01
18850;CR N-342, 156;L-D: 07:00-23:00;37.583083;CULLAR                   ;-2,578167;D;Cúllar;;;;;;;;;;;1.299;0.929;;;;1.359;;;;1.509;;;;GRANADA;dm;A.AGUAZA;P;0,0;0,0;6866;2724;18;01
18850;AUTOVIA CULLAR  A-92 KM. 369;L-D: 06:30-22:30;37.593694;CULLAR                   ;-2,464583;I;Cúllar;;;;;;;1.639;;;;1.529;;;;;1.569;;;;1.689;;;;GRANADA;OM;REPSOL;P;0,0;0,0;6958;2724;18;01
18850;AVDA. ANDALUCIA, 3 (A-330 km 3.0);L-D: 24H;37.584943;CULLAR                   ;-2,583103;I;Cúllar;;;;;;;;;;;1.319;0.929;;;;;;;;;;;;GRANADA;dm;AGRO-OLIVARERA NTRA. SRA. DE LA CABEZA, S. C. A.;P;0,0;0,0;10352;2724;18;01
18181;CARRETERA A330 CÚLLAR - PUEBLA DE DON FADRIQUE KM. 9;L: 07:00-20:00;37.635528;CULLAR                   ;-2,570861;I;Cúllar;;;;;;;;;;;1.319;;;;;1.429;;;;;;;;GRANADA;dm;GASOLINERA EL MARGEN;P;0,0;0,0;15523;2724;18;01
